,sample,position_1_1,position_2_1,position_3_1,position_4,position_5
251,6-3-011,3.7500000000000036,,,93.390625,
252,6-3-012,6.7788461538461355,,,112.5,
253,6-3-013,7.968749999999983,,,86.71610169491525,
254,6-3-014,9.076086956521747,,,87.36486486486486,
255,6-3-015,9.531249999999998,,,74.52380952380952,
256,6-4-001,9.812500000000057,,,236.57894736842107,512.5806451612904
257,6-4-002,8.028846153846136,,,135.8823529411765,378.73355263157896
258,6-4-003,7.666666666666655,,70.0625,190.39285714285714,
259,6-4-004,6.52343750000002,,78.77155172413794,147.11309523809524,
260,6-4-005,9.062500000000002,,,118.42391304347825,
261,6-4-006,8.854166666666677,,,111.76136363636363,
262,6-4-007,4.427083333333331,,,102.625,
263,6-4-008,5.227272727272705,,,120.26988636363636,
264,6-4-009,6.215277777777792,,,111.7570754716981,
265,6-4-010,9.062500000000002,,,99.41576086956522,
266,6-4-011,4.765624999999996,,,88.55978260869566,
267,6-4-012,7.250000000000006,,,89.17682926829268,
268,6-4-013,7.11538461538462,,,79.08536585365854,
269,6-4-014,12.333333333333348,,80.41666666666666,107.15116279069768,
270,6-4-015,6.718749999999996,,,77.41071428571429,
271,8-1-001,10.523809523809527,,82.9782608695652,244.6,
272,8-1-002,14.210526315789485,,99.04615384615384,,288.99999999999994
273,8-1-003,7.888888888888884,,90.42105263157896,220.9090909090909,
274,8-1-004,6.833333333333325,,87.78181818181818,210.40000000000003,
275,8-1-005,4.714285714285713,,70.83050847457628,240.0555555555556,
276,8-2-001,13.500000000000007,,181.87272727272733,,461.94117647058823
277,8-2-002,17.00000000000005,,,178.06349206349205,392.83333333333337
278,8-2-003,24.733333333333405,,161.23214285714286,,367.53333333333336
279,8-2-004,11.20000000000001,,,162.81967213114757,379.5555555555556
280,8-2-005,11.99999999999999,,,163.59374999999997,367.9130434782609
281,8-3-001,11.444444444444436,,,151.04,366.81249999999994
282,8-3-002,,,,154.50704225352115,416.5
283,8-3-003,7.9166666666666385,,101.81034482758622,223.63636363636363,
284,8-3-004,10.300000000000015,,84.7,124.6,
285,8-3-005,4.6363636363636305,,77.56,,
286,8-4-001,4.666666666666678,,116.93749999999999,,396.4166666666667
287,8-4-002,12.533333333333346,,,93.81818181818183,280.7368421052631
288,8-4-003,8.909090909090908,,109.62068965517241,361.6153846153846,407.85714285714283
289,8-4-004,3.562499999999999,,86.40540540540542,,321.58333333333337
290,8-4-005,6.526315789473655,,87.1142857142857,,307.25
291,9-1-001,8.000000000000018,,,150.44,
292,9-1-002,9.052631578947379,,144.1951219512195,316.125,
293,9-1-003,8.384615384615381,,,112.23684210526316,
294,9-1-004,11.500000000000002,,91.42105263157895,206.24999999999997,
295,9-1-005,5.687500000000034,,92.93877551020408,203.95238095238093,
296,9-2-001,3.8750000000000173,,140.25,185.0,424.83333333333326
297,9-2-002,5.888888888888938,,,147.23076923076923,453.0526315789474
298,9-2-003,6.090909090909097,,,142.86567164179107,415.8333333333333
299,9-2-004,6.727272727272737,,,142.13333333333335,383.0666666666667
300,9-2-005,5.22222222222225,,122.962962962963,324.05882352941177,
301,9-3-001,16.73684210526315,,110.95238095238095,162.05128205128207,
302,9-3-002,7.777777777777789,,,100.4375,
303,9-3-003,10.217391304347833,,94.13793103448275,240.57142857142858,
304,9-3-004,5.478260869565233,,78.67857142857143,102.27586206896552,274.25000000000006
305,9-3-005,5.999999999999975,,84.75438596491229,245.31250000000003,
306,9-4-001,19.904761904761955,,126.9245283018868,316.3846153846154,378.61538461538464
